tags|intent
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer right###I-refer ,###I-refer near###I-refer plaid###I-refer chair###I-refer to###O <value>###B-value .###O|adjust
give###B-action the###B-refer mouse###I-refer on###I-refer the###I-refer right###I-refer a###O <attribute>###B-attribute value###O of###O <value>###B-value .###O|adjust
change###B-action the###O <attribute>###B-attribute of###O the###B-refer middle###I-refer bat###I-refer by###O <value>###B-value|adjust
please###O edit###B-action the###O <attribute>###B-attribute for###O the###B-refer right###I-refer giraffe###I-refer to###O <value>###B-value|adjust
please###O edit###B-action the###O <attribute>###B-attribute for###O the###B-refer screen###I-refer on###I-refer the###I-refer right###I-refer to###O <value>###B-value|adjust
modify###B-action <attribute>###B-attribute by###O <value>###B-value on###O cat###B-refer on###I-refer the###I-refer right###I-refer|adjust
increase###B-action the###O <attribute>###B-attribute of###O the###B-refer knife###I-refer sheath###I-refer by###O a###O value###O of###O <value>###B-value .###O|adjust
please###O decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer black###I-refer purse###I-refer at###I-refer the###I-refer top###I-refer by###O <value>###B-value .###O|adjust
set###B-action the###O <attribute>###B-attribute of###O the###B-refer meter###I-refer second###I-refer from###I-refer the###I-refer camera###I-refer to###O a###O value###O of###O <value>###B-value|adjust
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer furthest###I-refer left###I-refer silver###I-refer thing###I-refer by###O <value>###B-value .###O|adjust
the###B-refer empty###I-refer seat###I-refer on###I-refer the###I-refer right###I-refer needs###O <attribute>###B-attribute changed###B-action by###O a###O value###O of###O <value>###B-value .###O|adjust
please###O edit###B-action the###O <attribute>###B-attribute for###O the###B-refer red###I-refer boat###I-refer in###I-refer the###I-refer background###I-refer to###O <value>###B-value|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer right###I-refer chair###I-refer to###O <value>###B-value .###O|adjust
lower###B-action the###O <attribute>###B-attribute value###O of###O the###B-refer solid###I-refer green###I-refer apples###I-refer to###O <value>###B-value .###O|adjust
edit###B-action the###B-refer second###I-refer glass###I-refer door###I-refer from###I-refer the###I-refer right###I-refer so###O that###O the###O <attribute>###B-attribute is###O <value>###B-value .###O|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer red###I-refer ski###I-refer to###O <value>###B-value .###O|adjust
please###O edit###B-action the###O <attribute>###B-attribute for###O the###B-refer microwave###I-refer on###I-refer the###I-refer right###I-refer to###O <value>###B-value|adjust
the###B-refer cat###I-refer on###I-refer the###I-refer ground###I-refer has###O a###O <attribute>###B-attribute value###O of###O <value>###B-value|adjust
please###O edit###B-action the###O <attribute>###B-attribute for###O the###B-refer green###I-refer bus###I-refer to###O <value>###B-value|adjust
make###B-action the###O <attribute>###B-attribute of###O the###B-refer flowers###I-refer on###I-refer the###I-refer left###I-refer <value>###B-value|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer far###I-refer right###I-refer white###I-refer bear###I-refer to###O a###O value###O of###O <value>###B-value|adjust
<attribute>###B-attribute of###O sofa###B-refer with###I-refer dog###I-refer is###O <value>###B-value .###O|adjust
apply###B-action <value>###B-value <attribute>###B-attribute to###O bottom###B-refer left###I-refer cupcake###I-refer|adjust
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer horse###I-refer on###I-refer the###I-refer right###I-refer by###O a###O value###O of###O <value>###B-value|adjust
reduce###B-action the###O <attribute>###B-attribute of###O the###B-refer red###I-refer tie###I-refer at###I-refer far###I-refer left###I-refer by###O <value>###B-value .###O|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer center###I-refer portion###I-refer of###I-refer food###I-refer on###I-refer the###I-refer tray###I-refer to###O a###O value###O of###O <value>###B-value|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer white###I-refer cake###I-refer and###I-refer candles###I-refer to###O <value>###B-value .###O|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer bottom###I-refer right###I-refer keyboard###I-refer to###O <value>###B-value .###O|adjust
change###B-action the###O <attribute>###B-attribute of###O the###B-refer carrots###I-refer to###O <value>###B-value .###O|adjust
alter###B-action the###O <attribute>###B-attribute of###O the###B-refer zebra###I-refer facing###I-refer the###I-refer camera###I-refer to###O be###O <value>###B-value|adjust
modify###B-action <attribute>###B-attribute on###O the###B-refer left###I-refer standing###I-refer giraffe###I-refer by###O <value>###B-value .###O|adjust
change###B-action the###O <attribute>###B-attribute or###O the###B-refer middle###I-refer broccoli###I-refer by###O <value>###B-value .###O|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer top###I-refer black###I-refer suitcase###I-refer to###O <value>###B-value .###O|adjust
change###B-action the###O <attribute>###B-attribute of###O the###B-refer leftmost###I-refer laptop###I-refer to###O <value>###B-value .###O|adjust
edit###B-action the###B-refer sheep###I-refer on###I-refer the###I-refer right###I-refer with###I-refer its###I-refer head###I-refer in###I-refer the###I-refer grass###I-refer so###O that###O the###O <attribute>###B-attribute is###O <value>###B-value .###O|adjust
set###B-action the###O <attribute>###B-attribute value###O of###O the###B-refer second###I-refer and###I-refer third###I-refer carrots###I-refer from###I-refer the###I-refer left###I-refer to###O <value>###B-value|adjust
for###O the###B-refer plane###I-refer in###I-refer the###I-refer background###I-refer ,###O adjust###B-action the###O <attribute>###B-attribute value###O to###O <value>###B-value|adjust
increase###B-action the###O <attribute>###B-attribute of###O the###B-refer piece###I-refer of###I-refer carrot###I-refer on###I-refer bottom###I-refer right###I-refer by###O <value>###B-value|adjust
set###B-action the###O <attribute>###B-attribute of###O the###B-refer left###I-refer bear###I-refer to###O <value>###B-value|adjust
the###O object###O to###O edit###O is###O the###B-refer black###I-refer keyboard###I-refer that###I-refer is###I-refer part###I-refer of###I-refer the###I-refer laptop###I-refer .###O modify###B-action the###O <attribute>###B-attribute by###O <value>###B-value .###O|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer smaller###I-refer white###I-refer umbrella###I-refer to###O <value>###B-value .###O|adjust
raise###B-action the###O <attribute>###B-attribute of###O the###B-refer far###I-refer right###I-refer slice###I-refer by###O <value>###B-value points###O .###O|adjust
change###B-action the###O <attribute>###B-attribute of###O the###B-refer red###I-refer cup###I-refer on###I-refer the###I-refer right###I-refer to###O <value>###B-value .###O|adjust
please###O edit###B-action the###O <attribute>###B-attribute of###O the###B-refer vehicle###I-refer by###I-refer the###I-refer left###I-refer to###O <value>###B-value|adjust
modify###B-action the###O <attribute>###B-attribute by###O <value>###B-value of###O the###B-refer largest###I-refer polar###I-refer bear###I-refer on###I-refer the###I-refer right###I-refer .###O|adjust
change###B-action the###O <attribute>###B-attribute of###O the###B-refer white###I-refer square###I-refer container###I-refer on###I-refer the###I-refer bottom###I-refer left###I-refer to###O <value>###B-value .###O|adjust
the###B-refer giraffe###I-refer that###I-refer 's###I-refer standing###I-refer on###I-refer the###I-refer right###I-refer needs###O its###O <attribute>###B-attribute value###O changed###B-action to###O a###O <value>###B-value .###O|adjust
change###B-action the###O <attribute>###B-attribute of###O the###B-refer white###I-refer bear###I-refer on###I-refer the###I-refer right###I-refer by###O a###O value###O of###O <value>###B-value .###O|adjust
raise###B-action the###O <attribute>###B-attribute of###O the###B-refer oven###I-refer door###I-refer by###O <value>###B-value units###O .###O|adjust
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer broccoli###I-refer on###I-refer the###I-refer left###I-refer with###I-refer its###I-refer crown###I-refer facing###I-refer right###I-refer by###O <value>###B-value .###O|adjust
please###O increase###B-action the###O <attribute>###B-attribute of###O the###B-refer traffic###I-refer light###I-refer hanging###I-refer on###I-refer the###I-refer left###I-refer by###O <value>###B-value .###O|adjust
modify###B-action the###O <attribute>###B-attribute of###O the###B-refer front###I-refer vase###I-refer by###O <value>###B-value .###O|adjust
modify###B-action the###O <attribute>###B-attribute of###O the###B-refer computer###I-refer monitor###I-refer on###I-refer the###I-refer right###I-refer side###I-refer of###I-refer the###I-refer image###I-refer by###O <value>###B-value .###O|adjust
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer far###I-refer left###I-refer orange###I-refer blob###I-refer by###O a###O value###O of###O <value>###B-value|adjust
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer glass###I-refer behind###I-refer the###I-refer bowl###I-refer by###O <value>###B-value .###O|adjust
change###B-action the###O <attribute>###B-attribute of###O the###B-refer white###I-refer truck###I-refer to###O <value>###B-value|adjust
please###O edit###B-action the###O <attribute>###B-attribute of###O the###B-refer very###I-refer middle###I-refer broccoli###I-refer to###O <value>###B-value|adjust
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer bottom###I-refer cup###I-refer by###O <value>###B-value|adjust
modify###B-action <attribute>###B-attribute by###O <value>###B-value on###O lower###B-refer traffic###I-refer signal###I-refer|adjust
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer left###I-refer orange###I-refer plate###I-refer by###O <value>###B-value .###O|adjust
the###B-refer bananas###I-refer in###I-refer the###I-refer left###I-refer pic###I-refer modify###B-action the###O <attribute>###B-attribute by###O <value>###B-value|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer left###I-refer keyboard###I-refer to###O <value>###B-value .###O|adjust
set###B-action the###O <attribute>###B-attribute of###O the###B-refer left###I-refer sheep###I-refer to###O <value>###B-value|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer wine###I-refer bottle###I-refer being###I-refer poured###I-refer to###O <value>###B-value .###O|adjust
change###B-action the###O <attribute>###B-attribute of###O the###B-refer frontmost###I-refer surfboard###I-refer b###O <value>###B-value|adjust
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer part###I-refer of###I-refer the###I-refer sofa###I-refer above###I-refer the###I-refer cat###I-refer in###I-refer the###I-refer suitcase###I-refer by###O <value>###B-value .###O|adjust
give###B-action the###B-refer horse###I-refer farthest###I-refer to###I-refer the###I-refer right###I-refer a###O <attribute>###B-attribute value###O of###O <value>###B-value .###O|adjust
reduce###B-action the###O <attribute>###B-attribute of###O the###B-refer carrots###I-refer at###I-refer far###I-refer left###I-refer by###O a###O value###O of###O <value>###B-value .###O|adjust
edit###B-action the###B-refer skateboard###I-refer on###I-refer the###I-refer left###I-refer so###O the###O <attribute>###B-attribute is###O <value>###B-value .###O|adjust
please###O modify###B-action the###O <attribute>###B-attribute of###O the###B-refer green###I-refer car###I-refer that###I-refer 's###I-refer cut###I-refer off###I-refer on###I-refer the###I-refer bottom###I-refer right###I-refer by###O <value>###B-value .###O|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer second-to-left###I-refer remote###I-refer to###O <value>###B-value .###O|adjust
increase###B-action the###O <attribute>###B-attribute of###O the###B-refer right###I-refer part###I-refer of###I-refer the###I-refer machine###I-refer by###O <value>###B-value .###O|adjust
please###O edit###B-action the###O <attribute>###B-attribute for###O the###B-refer bird###I-refer on###I-refer the###I-refer right###I-refer to###O <value>###B-value|adjust
change###B-action the###O <attribute>###B-attribute to###O a###O value###O of###O <value>###B-value for###O the###B-refer sheep###I-refer on###I-refer the###I-refer left###I-refer .###O|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer left###I-refer board###I-refer to###O a###O value###O of###O <value>###B-value|adjust
edit###B-action the###O <attribute>###B-attribute of###O the###B-refer top###I-refer doughnut###I-refer to###O <value>###B-value .###O|adjust
change###B-action the###O <attribute>###B-attribute of###O the###B-refer palest###I-refer blue###I-refer clock###I-refer by###O <value>###B-value|adjust
